etat,bucket,file,dur,start,end,src
CORTEX,FRAGMENTS,C017_v3_cortex.wav,6.956,242.001,248.957,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C018_v3_cortex.wav,8.027,249.981,258.008,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C019_v3_cortex.wav,8.073,259.985,268.058,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C021_v3_cortex.wav,11.967,295.981,307.948,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C025_v3_cortex.wav,8.887,394.982,403.869,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C026_v3_cortex.wav,8.906,416.017,424.923,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C027_v3_cortex.wav,8.79,451.981,460.77,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C034_v3_cortex.wav,12.101,596.043,608.143,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C035_v3_cortex.wav,4.143,615.981,620.123,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C036_v3_cortex.wav,9.928,621.981,631.909,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C037_v3_cortex.wav,9.968,633.045,643.013,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C038_v3_cortex.wav,9.389,647.987,657.375,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C039_v3_cortex.wav,2.284,663.484,665.768,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C040_v3_cortex.wav,6.48,675.039,681.519,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C041_v3_cortex.wav,7.775,682.606,690.382,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C042_v3_cortex.wav,10.935,699.482,710.416,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C043_v3_cortex.wav,4.83,717.241,722.07,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C044_v3_cortex.wav,10.003,735.231,745.234,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C045_v3_cortex.wav,12.797,766.551,779.348,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C047_v3_cortex.wav,10.499,808.019,818.518,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C048_v3_cortex.wav,7.421,832.016,839.437,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C051_v3_cortex.wav,11.055,903.981,915.036,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C056_v3_cortex.wav,7.704,1071.996,1079.7,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C060_v3_cortex.wav,4.94,1176.027,1180.967,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C061_v3_cortex.wav,11.491,1195.517,1207.008,ambiance opacité fin V6 Cortex.wav
