fichier,etat,bucket,duree,src,t_debut,t_fin,famille,tags,usage_prefere,notes
C012_v3_cortex.wav,CORTEX,FRAGMENTS,2.454,ambiance opacité fin V6 Cortex.wav,176.719,179.173,,,,
C013_v3_cortex.wav,CORTEX,FRAGMENTS,10.03,ambiance opacité fin V6 Cortex.wav,183.987,194.016,,,,
C014_v3_cortex.wav,CORTEX,FRAGMENTS,8.524,ambiance opacité fin V6 Cortex.wav,196.158,204.682,,,,
C015_v3_cortex.wav,CORTEX,LONG_MOYEN,17.465,ambiance opacité fin V6 Cortex.wav,208.247,225.712,,,,
C016_v3_cortex.wav,CORTEX,FRAGMENTS,10.345,ambiance opacité fin V6 Cortex.wav,229.991,240.336,,,,
C017_v3_cortex.wav,CORTEX,FRAGMENTS,6.956,ambiance opacité fin V6 Cortex.wav,242.001,248.957,,,,
C018_v3_cortex.wav,CORTEX,FRAGMENTS,8.027,ambiance opacité fin V6 Cortex.wav,249.981,258.008,,,,
C019_v3_cortex.wav,CORTEX,FRAGMENTS,8.073,ambiance opacité fin V6 Cortex.wav,259.985,268.058,,,,
C020_v3_cortex.wav,CORTEX,LONG_MOYEN,21.897,ambiance opacité fin V6 Cortex.wav,269.983,291.881,,,,
C021_v3_cortex.wav,CORTEX,FRAGMENTS,11.967,ambiance opacité fin V6 Cortex.wav,295.981,307.948,,,,
C022_v3_cortex.wav,CORTEX,LONG_MOYEN,23.289,ambiance opacité fin V6 Cortex.wav,316.004,339.293,,,,
C023_v3_cortex.wav,CORTEX,LONG_MOYEN,23.874,ambiance opacité fin V6 Cortex.wav,344.06,367.934,,,,
C024_v3_cortex.wav,CORTEX,LONG_MOYEN,21.779,ambiance opacité fin V6 Cortex.wav,372.141,393.92,,,,
C025_v3_cortex.wav,CORTEX,FRAGMENTS,8.887,ambiance opacité fin V6 Cortex.wav,394.982,403.869,,,,
C026_v3_cortex.wav,CORTEX,FRAGMENTS,8.906,ambiance opacité fin V6 Cortex.wav,416.017,424.923,,,,
C027_v3_cortex.wav,CORTEX,FRAGMENTS,8.79,ambiance opacité fin V6 Cortex.wav,451.981,460.77,,,,
C028_v3_cortex.wav,CORTEX,LONG_MOYEN,26.739,ambiance opacité fin V6 Cortex.wav,463.983,490.722,,,,
C029_v3_cortex.wav,CORTEX,LONG_MOYEN,15.538,ambiance opacité fin V6 Cortex.wav,491.98,507.518,,,,
C030_v3_cortex.wav,CORTEX,LONG_MOYEN,21.736,ambiance opacité fin V6 Cortex.wav,508.732,530.469,,,,
C031_v3_cortex.wav,CORTEX,LONG_MOYEN,15.787,ambiance opacité fin V6 Cortex.wav,534.982,550.769,,,,
C032_v3_cortex.wav,CORTEX,LONG_MOYEN,16.395,ambiance opacité fin V6 Cortex.wav,554.983,571.377,,,,
C033_v3_cortex.wav,CORTEX,LONG_MOYEN,16.413,ambiance opacité fin V6 Cortex.wav,573.043,589.456,,,,
C034_v3_cortex.wav,CORTEX,FRAGMENTS,12.101,ambiance opacité fin V6 Cortex.wav,596.043,608.143,,,,
C035_v3_cortex.wav,CORTEX,FRAGMENTS,4.143,ambiance opacité fin V6 Cortex.wav,615.981,620.123,,,,
C036_v3_cortex.wav,CORTEX,FRAGMENTS,9.928,ambiance opacité fin V6 Cortex.wav,621.981,631.909,,,,
C037_v3_cortex.wav,CORTEX,FRAGMENTS,9.968,ambiance opacité fin V6 Cortex.wav,633.045,643.013,,,,
C038_v3_cortex.wav,CORTEX,FRAGMENTS,9.389,ambiance opacité fin V6 Cortex.wav,647.987,657.375,,,,
C039_v3_cortex.wav,CORTEX,FRAGMENTS,2.284,ambiance opacité fin V6 Cortex.wav,663.484,665.768,,,,
C040_v3_cortex.wav,CORTEX,FRAGMENTS,6.48,ambiance opacité fin V6 Cortex.wav,675.039,681.519,,,,
C041_v3_cortex.wav,CORTEX,FRAGMENTS,7.775,ambiance opacité fin V6 Cortex.wav,682.606,690.382,,,,
C042_v3_cortex.wav,CORTEX,FRAGMENTS,10.935,ambiance opacité fin V6 Cortex.wav,699.482,710.416,,,,
C043_v3_cortex.wav,CORTEX,FRAGMENTS,4.83,ambiance opacité fin V6 Cortex.wav,717.241,722.07,,,,
C044_v3_cortex.wav,CORTEX,FRAGMENTS,10.003,ambiance opacité fin V6 Cortex.wav,735.231,745.234,,,,
C045_v3_cortex.wav,CORTEX,FRAGMENTS,12.797,ambiance opacité fin V6 Cortex.wav,766.551,779.348,,,,
C046_v3_cortex.wav,CORTEX,LONG_MOYEN,17.617,ambiance opacité fin V6 Cortex.wav,781.896,799.513,,,,
C047_v3_cortex.wav,CORTEX,FRAGMENTS,10.499,ambiance opacité fin V6 Cortex.wav,808.019,818.518,,,,
C048_v3_cortex.wav,CORTEX,FRAGMENTS,7.421,ambiance opacité fin V6 Cortex.wav,832.016,839.437,,,,
C049_v3_cortex.wav,CORTEX,LONG_MOYEN,16.008,ambiance opacité fin V6 Cortex.wav,847.982,863.99,,,,
C050_v3_cortex.wav,CORTEX,LONG_MOYEN,19.979,ambiance opacité fin V6 Cortex.wav,879.997,899.976,,,,
C051_v3_cortex.wav,CORTEX,FRAGMENTS,11.055,ambiance opacité fin V6 Cortex.wav,903.981,915.036,,,,
C052_v3_cortex.wav,CORTEX,LONG_MOYEN,28.343,ambiance opacité fin V6 Cortex.wav,944.318,972.661,,,,
C053_v3_cortex.wav,CORTEX,LONG_MOYEN,13.738,ambiance opacité fin V6 Cortex.wav,983.981,997.72,,,,
C054_v3_cortex.wav,CORTEX,LONG_MOYEN,23.84,ambiance opacité fin V6 Cortex.wav,1008.165,1032.005,,,,
C055_v3_cortex.wav,CORTEX,LONG_MOYEN,17.037,ambiance opacité fin V6 Cortex.wav,1049.981,1067.018,,,,
C056_v3_cortex.wav,CORTEX,FRAGMENTS,7.704,ambiance opacité fin V6 Cortex.wav,1071.996,1079.7,,,,
