etat,bucket,file,dur,start,end,src
RECONSTRUCTION,COURT,R019_v2_reconstruction.wav,0.502,163.231,163.733,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R020_v2_reconstruction.wav,2.2,167.358,169.559,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R021_v2_reconstruction.wav,1.284,174.234,175.519,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R022_v2_reconstruction.wav,0.641,177.484,178.125,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R023_v2_reconstruction.wav,0.989,181.734,182.723,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R024_v2_reconstruction.wav,1.163,184.481,185.644,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R025_v2_reconstruction.wav,1.887,213.107,214.994,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R026_v2_reconstruction.wav,1.081,225.504,226.585,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R027_v2_reconstruction.wav,1.278,227.982,229.26,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R028_v2_reconstruction.wav,0.899,231.982,232.882,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R029_v2_reconstruction.wav,1.765,299.982,301.746,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R030_v2_reconstruction.wav,1.043,349.051,350.094,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R031_v2_reconstruction.wav,0.958,352.129,353.088,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R032_v2_reconstruction.wav,1.91,354.131,356.041,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R033_v2_reconstruction.wav,0.973,377.482,378.456,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R034_v2_reconstruction.wav,1.275,399.982,401.256,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R035_v2_reconstruction.wav,1.179,404.982,406.161,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R036_v2_reconstruction.wav,0.992,423.986,424.978,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R037_v2_reconstruction.wav,1.174,434.981,436.155,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R038_v2_reconstruction.wav,1.95,441.531,443.481,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R039_v2_reconstruction.wav,0.788,466.791,467.579,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R040_v2_reconstruction.wav,0.748,475.856,476.604,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R041_v2_reconstruction.wav,1.125,477.395,478.52,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R042_v2_reconstruction.wav,0.714,487.043,487.758,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R043_v2_reconstruction.wav,1.494,494.505,495.998,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R044_v2_reconstruction.wav,0.913,496.731,497.644,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R045_v2_reconstruction.wav,1.564,507.702,509.266,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R046_v2_reconstruction.wav,1.059,571.5,572.559,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R047_v2_reconstruction.wav,1.51,594.115,595.625,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R048_v2_reconstruction.wav,1.942,596.754,598.697,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R049_v2_reconstruction.wav,1.181,604.067,605.248,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R050_v2_reconstruction.wav,2.625,633.987,636.612,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R051_v2_reconstruction.wav,3.517,637.984,641.501,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R052_v2_reconstruction.wav,0.804,653.66,654.464,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R053_v2_reconstruction.wav,0.786,655.357,656.143,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R054_v2_reconstruction.wav,0.867,664.029,664.896,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R055_v2_reconstruction.wav,1.768,669.483,671.251,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R056_v2_reconstruction.wav,0.966,672.514,673.48,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R057_v2_reconstruction.wav,1.585,676.982,678.567,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R058_v2_reconstruction.wav,3.028,679.99,683.018,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R059_v2_reconstruction.wav,0.92,684.094,685.014,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R060_v2_reconstruction.wav,2.083,685.986,688.069,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R061_v2_reconstruction.wav,0.506,706.106,706.612,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R062_v2_reconstruction.wav,1.787,711.606,713.394,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R063_v2_reconstruction.wav,1.108,715.908,717.016,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R064_v2_reconstruction.wav,0.917,723.732,724.649,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R065_v2_reconstruction.wav,2.037,726.983,729.02,opacité fin V2  Reconstruction.wav
